Time,Shank,Thigh,Wrist
4103,-1.539716380548302,-1.9142011064295998,-4.047938494703177
4104,-1.486135552548302,-2.5002793014296,-4.188612114703178
4105,-1.4352038275483021,-3.0879384934295997,-4.288258482703178
4106,-1.449595904548302,-3.4665382794296,-4.341852698703177
4107,-1.5112199475483021,-3.3733665024295996,-4.364698135703177
4108,-1.580346758548302,-3.1857469274295998,-4.364009760703177
4109,-1.655110041548302,-3.2112208504295996,-4.324562588703177
4110,-1.702925225548302,-3.3189827004295998,-4.2382623207031775
4111,-1.758630692548302,-3.4438475314295998,-4.130288268703177
4112,-1.857836398548302,-3.5193026844296,-4.023590185703178
4113,-1.873736398267924,-3.4391468565956522,-3.869752899889888
4114,-1.800880020267924,-3.3238558845956523,-3.7435498838898877
4115,-1.647835142267924,-3.2151266795956523,-3.601560807889888
4116,-1.590818084267924,-3.2257838275956523,-3.4637856698898877
4117,-1.910207788267924,-3.3408658215956524,-3.351813975889888
4118,-2.224332983267924,-3.4183996795956526,-3.273478934889888
4119,-1.937009866267924,-3.4258424045956524,-3.218868658889888
4120,-1.257468748267924,-3.4147333315956523,-3.170299930889888
4121,-0.869963575267924,-3.4171834715956524,-3.113593883889888
4122,-0.771739402267924,-3.4170889515956526,-3.0451359598898877
4123,-0.7349958442679241,-3.3661558735956523,-2.969395879889888
4124,-0.6513257522679241,-3.2496390935956523,-2.8832635808898877
4125,-0.489915377267924,-3.1049981325956524,-2.779541774889888
4126,-0.23991860326792402,-2.9611642855956526,-2.6604488198898877
4127,0.10714152473207594,-2.7935674785956524,-2.528540779889888
4128,0.9140011547320759,-2.5652303885956522,-2.378389041889888
4129,1.681053822732076,-2.3148996365956522,-2.223254247889888
4130,1.939586306732076,-2.1062456325956527,-2.062655479889888
4131,2.063208083732076,-1.9741972695956527,-1.9002114198898878
4132,2.2576933637320757,-1.8691912725956525,-1.7272419438898878
4133,2.491841313732076,-1.7715401265956527,-1.536406551889888
4134,2.7651456127320757,-1.7774771745956526,-1.3231989808898879
4135,3.083828111732076,-1.8336413525956525,-1.0888999138898878
4136,3.239992122732076,-1.8177124885956526,-0.841213490889888
4137,3.081693104732076,-1.7242815205956525,-0.582259646889888
4138,2.855893803732076,-1.5853708445956527,-0.30191196388988795
4139,2.719851655732076,-1.3417059805956526,0.011141769110112054
4140,2.547471610732076,-0.9931525315956526,0.35018989911011206
4141,2.3129862587320758,-0.5560617475956526,0.6979882861101121
4142,2.129550571732076,-0.06550282659565257,1.0623406711101122
4143,2.031435265732076,0.27450024040434745,1.4639943621101121
4144,2.027978298732076,0.3671964624043474,1.8894005171101123
4145,2.085020413732076,0.6703780164043474,2.3010108881101123
4146,2.2014418327320757,1.4919849574043473,2.6573579691101124
4147,2.349891821732076,2.320147018404348,2.923661157110112
4148,2.4014123807320757,2.8346830484043477,3.0858229131101123
4149,2.260386100732076,3.2177053434043477,3.1738405811101122
4150,1.972342817732076,3.513003325404348,3.232036535110112
4151,1.489399522732076,3.484556447404348,3.2777804511101123
4152,1.0369187507320758,3.2803389834043477,3.296896405110112
4153,0.574567781732076,3.1250519504043477,3.258158824110112
4154,0.03932112073207594,3.0200511234043477,3.154971569110112
4155,-0.5799062492679241,2.9109401454043478,3.0080471771101123
4156,-1.2131170112679242,2.8136700334043474,2.836245817110112
4157,-1.814856932267924,2.7985586224043475,2.656770965110112
4158,-2.325732883267924,2.8492849364043478,2.479634701110112
4159,-2.598516607267924,2.870882056404348,2.351190930110112
4160,-1.779619803267924,2.7712179254043474,2.256181073110112
4161,-1.6878222532679241,2.5147086574043476,2.1833329911101123
4162,-3.292480475267924,2.1852519734043474,2.1242376711101123
4163,-4.283085113267924,1.8645155134043472,2.082634612110112
4164,-4.020980747267924,1.6025056144043475,2.064911320110112
4165,-3.5514518832679243,1.4486696144043474,2.067583487110112
4166,-3.153125221267924,1.3931065254043473,2.088623708110112
4167,-2.6891606832679242,1.3743450114043474,2.130478424110112
4168,-2.164321212267924,1.3340129614043474,2.178608077110112
4169,-1.732377468267924,1.2065296264043475,2.2094635311101123
4170,-1.524414250267924,0.9801257684043474,2.217693971110112
4171,-1.2549272162679241,0.6974107834043473,2.2100581971101123
4172,-0.9175545452679241,0.4122331054043474,2.177863713110112
4173,-0.7486543632679241,0.1545017204043474,2.112746292110112
4174,-0.854283236267924,-0.08339298259565259,2.0354603151101123
4175,-1.087486374267924,-0.31773579559565257,1.9772077821101122
4176,-1.238925892267924,-0.5416725295956526,1.9412107341101121
4177,-1.281675293267924,-0.7673564095956527,1.9177788831101124
4178,-1.299221928267924,-1.0555210725956525,1.891693724110112
4179,-1.234402717267924,-1.4080325535956526,1.8446532121101122
4180,-1.090888043267924,-1.7178667025956527,1.7717432481101123
4181,-0.9696665292679241,-1.9040182615956527,1.6794550641101123
